llm_model,llm_quantization,condition,asr_model,audio,chrf,input_en,reference_es,hypothesis_es,total_duration_s,load_duration_s,prompt_eval_duration_s,eval_duration_s,prompt_eval_count,eval_count
gemma3:1b-it-q8_0,Q8_0,asr_high_precision,F32,audio01(dolor toracico).wav,70.29326798052671,"The patient reports several chest pain that started about 30 minutes ago. The pain becomes stronger, win, he takes a deep breath and he also feels short of breath. He has no knowledge and has not taken any medication today.",El paciente reporta dolor de pecho severo que comenzó hace unos treinta minutos. El dolor se hace más fuerte cuando respira profundo y también siente falta de aire. No tiene alergias conocidas y no ha tomado ningún medicamento hoy.,"El paciente informa de varios dolores de pecho que comenzaron hace aproximadamente 30 minutos. El dolor se vuelve más fuerte, se siente como un “gancho” y toma una respiración profunda y también siente falta de aire. No tiene conocimiento y no ha tomado ningún medicamento hoy.",1.935409792,0.384726875,0.187725,1.358275,133,58
gemma3:1b-it-q8_0,Q8_0,asr_high_precision,F32,audio02(alergia).wav,97.0484370902509,"The patient is allergic to penicillin and should not receive any medication containing it. She developed a severed skin rash after taking penicillin several years ago. She currently has a fever, a sore throat and difficulty is wallowing.","La paciente es alérgica a la penicilina y no debe recibir ningún medicamento que la contenga. Desarrolló una erupción cutánea severa después de tomar penicilina hace varios años. Actualmente tiene fiebre, dolor de garganta y dificultad para tragar.","La paciente es alérgica a la penicilina y no debe recibir ningún medicamento que contenga penicilina. Desarrolló una erupción cutánea severa después de tomar penicilina hace varios años. Actualmente tiene fiebre, dolor de garganta y dificultad para tragar.",1.819518166,0.374813083,0.15347,1.284039,129,60
gemma3:1b-it-q8_0,Q8_0,asr_high_precision,F32,audio03(accidente).wav,81.02657610625731,"The patient fell from a bicycle approximately one hour ago and injured his left arm. He can move his fingers, but he feels several pain near the waist. There is visible swelling, but there is no active bleeding.","El paciente se cayó de una bicicleta hace aproximadamente una hora y se lesionó el brazo izquierdo. Puede mover los dedos, pero siente un dolor severo cerca de la muñeca. Hay hinchazón visible, pero no hay sangrado activo.","El paciente cayó de una bicicleta aproximadamente una hora antes y se lastimó el brazo izquierdo. Puede mover sus dedos, pero siente varios dolores cerca de la cintura. Hay hinchazón visible, pero no hay sangrado activo.",1.5030895,0.402312334,0.149167,0.947616,129,46
gemma3:1b-it-q8_0,Q8_0,asr_high_precision,F32,audio04(dolor abdominal).wav,76.42126410480732,"The patient has had abdominal pain since yesterday evening. The pain is mainly located on the lower right side and has gradually become stronger. She also reports nausea and lost of appetite, but she has not vomited.","La paciente ha tenido dolor abdominal desde ayer por la tarde. El dolor se localiza principalmente en el lado inferior derecho y se ha vuelto gradualmente más fuerte. También reporta náuseas y pérdida de apetito, pero no ha vomitado.","El paciente presenta dolor abdominal desde anoche. El dolor se localiza principalmente en el lado inferior derecho y ha ido aumentando gradualmente. También informa de náuseas y pérdida de apetito, pero no ha vomitado.",1.653283959,0.401310625,0.168153,1.080065,128,46
gemma3:1b-it-q8_0,Q8_0,asr_high_precision,F32,audio05(diabetes).wav,72.52523521055844,"The patient has type 2 diabetes and normally takes medication every morning. Today he is far good to take his medicine and began feeling this and weak during the afternoon. He is conscious and able to speak, but he said his condition is getting worse.","El paciente tiene diabetes tipo dos y normalmente toma medicamentos todas las mañanas. Hoy olvidó tomar su medicina y comenzó a sentirse mareado y débil durante la tarde. Está consciente y puede hablar, pero dice que su condición está empeorando.","El paciente tiene diabetes tipo 2 y toma medicación todos los días. Hoy está bien para tomar su medicación y comenzó a sentir esto y debilidad durante la tarde. Está consciente y puede hablar, pero dijo que su condición está empeorando.",1.907201125,0.38556125,0.170932,1.346945,136,52
gemma3:1b-it-q8_0,Q8_0,asr_high_precision,F32,audio06(fiebre).wav,69.53393106067678,"The patient has had a high fever signs last night and has been feeling extremely tired. She has a reports musical pain, shields and a persistent headache. She has been drinking water regularly and has not taken any antibiotics.","La paciente ha tenido fiebre alta desde anoche y se ha sentido extremadamente cansada. También reporta dolor muscular, escalofríos y un dolor de cabeza persistente. Ha estado bebiendo agua regularmente y no ha tomado ningún antibiótico.","El paciente ha tenido fiebre alta anoche y se siente extremadamente cansada. Tiene dolor musical, en los músculos y una cefalea persistente. Está bebiendo agua regularmente y no ha tomado ningún antibiótico.",1.479101291,0.377088208,0.14968,0.945691,129,45
gemma3:1b-it-q8_0,Q8_0,asr_high_precision,F32,audio07(respiracion).wav,90.41695686671841,The patient has difficulty breathing when walking short distance and sometimes feels pressure in his sheath. Test symptoms began two days ago and have gradually become worse. He has a history of asthma but has not used his inhaler today.,"El paciente tiene dificultad para respirar al caminar distancias cortas y a veces siente presión en el pecho. Estos síntomas comenzaron hace dos días y han empeorado gradualmente. Tiene antecedentes de asma, pero no ha usado su inhalador hoy.","El paciente tiene dificultad para respirar al caminar distancias cortas y a veces siente presión en su revestimiento. Los síntomas comenzaron hace dos días y han ido empeorando gradualmente. Tiene antecedentes de asma, pero no ha utilizado su inhalador hoy.",1.795473375,0.366730208,0.150074,1.257521,130,54
gemma3:1b-it-q8_0,Q8_0,asr_high_precision,F32,audio08(herida).wav,66.08576505226831,"The patient could her right hand while preparing food approximately 40 minutes ago. The woman is still bleeding slightly, but she can move all of her fingers normally. She reports moderate pain and does not remember when she received her last tetanus vaccine.","La paciente se cortó la mano derecha mientras preparaba comida hace aproximadamente cuarenta minutos. La herida aún sangra levemente, pero puede mover todos sus dedos con normalidad. Reporta dolor moderado y no recuerda cuándo recibió su última vacuna contra el tétanos.","La paciente pudo haber sentido su mano derecha aproximadamente 40 minutos hace poco. La mujer sigue sangrando ligeramente, pero puede mover todas sus dedos normalmente. Informa dolor moderado y no recuerda cuándo recibió su última vacuna contra la tetanus.",1.721058375,0.370706958,0.171796,1.168642,135,49
gemma3:1b-it-q8_0,Q8_0,asr_high_precision,F32,audio09(mareo).wav,61.90875569187858,"The patient suddenly become disequiled standing at work this morning. He did not lose consciousness, but he felt weak and had to sit down immediately. He has eaten very little today and said that similar symptoms have been made on last month.","El paciente se mareó repentinamente mientras estaba de pie en el trabajo esta mañana. No perdió el conocimiento, pero se sintió débil y tuvo que sentarse de inmediato. Ha comido muy poco hoy y dice que síntomas similares le ocurrieron una vez el mes pasado.","El paciente se convirtió en desequilibrado al levantarse esta mañana. No perdió la conciencia, pero sintió debilidad y tuvo que sentarse inmediatamente. Ha comido muy poco hoy y dijo que síntomas similares se han producido el mes pasado.",1.602385667,0.376857833,0.173058,1.047893,133,51
gemma3:1b-it-q8_0,Q8_0,asr_high_precision,F32,audio10(dolor cabeza).wav,79.2674212453143,The patient has experienced a strong heat dutch for approximately 3 hours. The pain is mainly located behind her eyes and becomes worse when she looks at bright light. She also feels slightly nauseous but has no problems speaking or moving her arms and legs.,"La paciente ha experimentado un fuerte dolor de cabeza durante aproximadamente tres horas. El dolor se localiza principalmente detrás de sus ojos y empeora cuando mira luces brillantes. También siente un poco de náuseas, pero no tiene problemas para hablar o mover los brazos y las piernas.","El paciente ha experimentado un fuerte calor en la frente durante aproximadamente 3 horas. El dolor se localiza principalmente detrás de los ojos y empeora al mirar luz brillante. También siente un leve náusea, pero no tiene problemas para hablar o mover sus brazos y piernas.",1.925988042,0.405802667,0.183279,1.332611,136,57
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q8_0,audio01(dolor toracico).wav,70.29326798052671,"The patient reports several chest pain that started about 30 minutes ago. The pain becomes stronger, win, he takes a deep breath and he also feels short of breath. He has no knowledge and has not taken any medication today.",El paciente reporta dolor de pecho severo que comenzó hace unos treinta minutos. El dolor se hace más fuerte cuando respira profundo y también siente falta de aire. No tiene alergias conocidas y no ha tomado ningún medicamento hoy.,"El paciente informa de varios dolores de pecho que comenzaron hace aproximadamente 30 minutos. El dolor se vuelve más fuerte, se siente como un “gancho” y toma una respiración profunda y también siente falta de aire. No tiene conocimiento y no ha tomado ningún medicamento hoy.",1.618988208,0.368271083,0.04983,1.196038,133,58
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q8_0,audio02(alergia).wav,97.0484370902509,"The patient is allergic to penicillin and should not receive any medication containing it. She developed a severed skin rash after taking penicillin several years ago. She currently has a fever, a sore throat and difficulty is wallowing.","La paciente es alérgica a la penicilina y no debe recibir ningún medicamento que la contenga. Desarrolló una erupción cutánea severa después de tomar penicilina hace varios años. Actualmente tiene fiebre, dolor de garganta y dificultad para tragar.","La paciente es alérgica a la penicilina y no debe recibir ningún medicamento que contenga penicilina. Desarrolló una erupción cutánea severa después de tomar penicilina hace varios años. Actualmente tiene fiebre, dolor de garganta y dificultad para tragar.",1.657666375,0.364025,0.052611,1.236525,129,60
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q8_0,audio03(accidente).wav,81.02657610625731,"The patient fell from a bicycle approximately one hour ago and injured his left arm. He can move his fingers, but he feels several pain near the waist. There is visible swelling, but there is no active bleeding.","El paciente se cayó de una bicicleta hace aproximadamente una hora y se lesionó el brazo izquierdo. Puede mover los dedos, pero siente un dolor severo cerca de la muñeca. Hay hinchazón visible, pero no hay sangrado activo.","El paciente cayó de una bicicleta aproximadamente una hora antes y se lastimó el brazo izquierdo. Puede mover sus dedos, pero siente varios dolores cerca de la cintura. Hay hinchazón visible, pero no hay sangrado activo.",1.393237709,0.393930209,0.047854,0.946749,129,46
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q8_0,audio04(dolor abdominal).wav,76.42126410480732,"The patient has had abdominal pain since yesterday evening. The pain is mainly located on the lower right side and has gradually become stronger. She also reports nausea and lost appetite, but she has not vomited.","La paciente ha tenido dolor abdominal desde ayer por la tarde. El dolor se localiza principalmente en el lado inferior derecho y se ha vuelto gradualmente más fuerte. También reporta náuseas y pérdida de apetito, pero no ha vomitado.","El paciente presenta dolor abdominal desde anoche. El dolor se localiza principalmente en el lado inferior derecho y ha ido aumentando gradualmente. También informa de náuseas y pérdida de apetito, pero no ha vomitado.",1.463459958,0.367167916,0.148274,0.943846,127,46
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q8_0,audio05(diabetes).wav,72.52523521055844,"The patient has type 2 diabetes and normally takes medication every morning. Today he is far good to take his medicine and began feeling this and weak during the afternoon. He is conscious and able to speak, but he said his condition is getting worse.","El paciente tiene diabetes tipo dos y normalmente toma medicamentos todas las mañanas. Hoy olvidó tomar su medicina y comenzó a sentirse mareado y débil durante la tarde. Está consciente y puede hablar, pero dice que su condición está empeorando.","El paciente tiene diabetes tipo 2 y toma medicación todos los días. Hoy está bien para tomar su medicación y comenzó a sentir esto y debilidad durante la tarde. Está consciente y puede hablar, pero dijo que su condición está empeorando.",1.489632291,0.367543708,0.048834,1.068873,136,52
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q8_0,audio06(fiebre).wav,69.53393106067678,"The patient has had a high fever signs last night and has been feeling extremely tired. She has a reports musical pain, shields and a persistent headache. She has been drinking water regularly and has not taken any antibiotics.","La paciente ha tenido fiebre alta desde anoche y se ha sentido extremadamente cansada. También reporta dolor muscular, escalofríos y un dolor de cabeza persistente. Ha estado bebiendo agua regularmente y no ha tomado ningún antibiótico.","El paciente ha tenido fiebre alta anoche y se siente extremadamente cansada. Tiene dolor musical, en los músculos y una cefalea persistente. Está bebiendo agua regularmente y no ha tomado ningún antibiótico.",1.485565125,0.3654355,0.150227,0.966017,129,45
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q8_0,audio07(respiracion).wav,82.62835961833825,"The patient has difficulty breathing, going well in short distance and sometimes feels pressure in his sheath. Test symptoms began two days ago and have gradually become worse. He has a history of asthma but has not used his inhaler today.","El paciente tiene dificultad para respirar al caminar distancias cortas y a veces siente presión en el pecho. Estos síntomas comenzaron hace dos días y han empeorado gradualmente. Tiene antecedentes de asma, pero no ha usado su inhalador hoy.","El paciente tiene dificultad para respirar, se mueve bien a corta distancia y a veces siente presión en su revestimiento. Los síntomas comenzaron hace dos días y han empeorado gradualmente. Tiene antecedentes de asma, pero no usó su inhalador hoy.",1.698278834,0.378396459,0.162744,1.154486,132,53
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q8_0,audio08(herida).wav,67.99011216664101,"The patient could her right hand while preparing food approximately 40 minutes ago. The wound is still bleeding slightly, but she can move all of her fingers normally. She reports moderate pain and does not remember when she received her last tetanus vaccine.","La paciente se cortó la mano derecha mientras preparaba comida hace aproximadamente cuarenta minutos. La herida aún sangra levemente, pero puede mover todos sus dedos con normalidad. Reporta dolor moderado y no recuerda cuándo recibió su última vacuna contra el tétanos.","La paciente pudo haber sentido su mano derecha aproximadamente 40 minutos hace poco. La herida sigue sangrando ligeramente, pero puede mover todas sus dedos normalmente. Informa dolor moderado y no recuerda cuándo recibió su última vacuna contra la tetanus.",1.693187125,0.364327416,0.173058,1.152129,135,50
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q8_0,audio09(mareo).wav,62.895748255154565,"The patient suddenly become disequiled standing at work this morning. He did not lose consciousness, but he feel weak and had to sit down in the middle. He has eaten very little today and said that similar symptoms have knit on last month.","El paciente se mareó repentinamente mientras estaba de pie en el trabajo esta mañana. No perdió el conocimiento, pero se sintió débil y tuvo que sentarse de inmediato. Ha comido muy poco hoy y dice que síntomas similares le ocurrieron una vez el mes pasado.","El paciente se convirtió en desequilibrado al levantarse esta mañana. No perdió la conciencia, pero se sentía débil y tuvo que sentarse en el medio. Ha comido muy poco hoy y dijo que síntomas similares se manifestaron el mes pasado.",1.639473875,0.369685666,0.173342,1.092515,134,53
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q8_0,audio10(dolor cabeza).wav,79.84494959767592,The patient has experienced a strong heat dodge for approximately 3 hours. The pain is mainly located behind her eyes and becomes worse when she looks at bright light. She also feels slightly nauseous but has no problems speaking or moving her arms and legs.,"La paciente ha experimentado un fuerte dolor de cabeza durante aproximadamente tres horas. El dolor se localiza principalmente detrás de sus ojos y empeora cuando mira luces brillantes. También siente un poco de náuseas, pero no tiene problemas para hablar o mover los brazos y las piernas.","El paciente ha experimentado un fuerte golpe de calor durante aproximadamente 3 horas. El dolor se localiza principalmente detrás de los ojos y empeora al mirar luz brillante. También siente un leve náusea, pero no tiene problemas para hablar o mover sus brazos y piernas.",1.683081917,0.367832042,0.175009,1.136112,136,55
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q5_1,audio01(dolor toracico).wav,70.29326798052671,"The patient reports several chest pain that started about 30 minutes ago. The pain becomes stronger, win, he takes a deep breath and he also feels short of breath. He has no knowledge and has not taken any medication today.",El paciente reporta dolor de pecho severo que comenzó hace unos treinta minutos. El dolor se hace más fuerte cuando respira profundo y también siente falta de aire. No tiene alergias conocidas y no ha tomado ningún medicamento hoy.,"El paciente informa de varios dolores de pecho que comenzaron hace aproximadamente 30 minutos. El dolor se vuelve más fuerte, se siente como un “gancho” y toma una respiración profunda y también siente falta de aire. No tiene conocimiento y no ha tomado ningún medicamento hoy.",1.617645667,0.365612792,0.048576,1.200243,133,58
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q5_1,audio02(alergia).wav,92.88987289973352,"The patient is allergic to penicillin and should not receive any medication containing it. She developed a severed skin rash after taking penicillin several years ago. She currently has a fever, a sore throat and difficult as well.","La paciente es alérgica a la penicilina y no debe recibir ningún medicamento que la contenga. Desarrolló una erupción cutánea severa después de tomar penicilina hace varios años. Actualmente tiene fiebre, dolor de garganta y dificultad para tragar.","La paciente es alérgica a la penicilina y no debe recibir ningún medicamento que contenga penicilina. Desarrolló una erupción cutánea severa después de tomar penicilina hace varios años. Actualmente tiene fiebre, dolor de garganta y dificultad.",1.723534,0.365532542,0.147013,1.207497,128,58
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q5_1,audio03(accidente).wav,83.47047890910133,"The patient fell from a bicycle, approximately one hour ago and injured his left arm. He can move his fingers, but he feels several pain near the waist. There is visible swelling, but there is no active bleeding.","El paciente se cayó de una bicicleta hace aproximadamente una hora y se lesionó el brazo izquierdo. Puede mover los dedos, pero siente un dolor severo cerca de la muñeca. Hay hinchazón visible, pero no hay sangrado activo.","El paciente cayó de una bicicleta, aproximadamente una hora antes, y se lesionó el brazo izquierdo. Puede mover sus dedos, pero siente varios dolores cerca de la cintura. Hay hinchazón visible, pero no hay sangrado activo.",1.515090083,0.364659292,0.149342,0.998154,130,47
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q5_1,audio04(dolor abdominal).wav,76.42126410480732,"The patient has had abdominal pain since yesterday evening. The pain is mainly located on the lower right side and has gradually become stronger. She also reports nausea and lost of appetite, but she has not vomited.","La paciente ha tenido dolor abdominal desde ayer por la tarde. El dolor se localiza principalmente en el lado inferior derecho y se ha vuelto gradualmente más fuerte. También reporta náuseas y pérdida de apetito, pero no ha vomitado.","El paciente presenta dolor abdominal desde anoche. El dolor se localiza principalmente en el lado inferior derecho y ha ido aumentando gradualmente. También informa de náuseas y pérdida de apetito, pero no ha vomitado.",1.459825292,0.366663125,0.147062,0.943011,128,46
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q5_1,audio05(diabetes).wav,68.88673574613871,"The patient has type 2 diabetes and normally takes medication every morning. Today he is far good to take his medicine and beg and feel in this and wake during the afternoon. He is conscious and able to speak, but he said his condition is getting worse.","El paciente tiene diabetes tipo dos y normalmente toma medicamentos todas las mañanas. Hoy olvidó tomar su medicina y comenzó a sentirse mareado y débil durante la tarde. Está consciente y puede hablar, pero dice que su condición está empeorando.","El paciente tiene diabetes tipo 2 y toma medicación todos los días. Hoy está bien para tomar su medicación y pedir y sentirse así, y despertarse durante la tarde. Está consciente y puede hablar, pero dijo que su condición está empeorando.",1.725429167,0.362391625,0.172359,1.187815,138,53
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q5_1,audio06(fiebre).wav,65.53506041021502,"The patient has had a high fever signs last night and has been feeling extremely tired. She has a reports musical pain, shields and a persistent heatache. She has been drinking water regularly and has not taken any antibiotics.","La paciente ha tenido fiebre alta desde anoche y se ha sentido extremadamente cansada. También reporta dolor muscular, escalofríos y un dolor de cabeza persistente. Ha estado bebiendo agua regularmente y no ha tomado ningún antibiótico.","El paciente ha tenido fiebre alta anoche y se siente extremadamente cansado. Tiene dolor musical, en los músculos y un calor intenso. Está bebiendo agua regularmente y no ha tomado ningún antibiótico.",1.527418416,0.373979416,0.183753,0.965977,130,43
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q5_1,audio07(respiracion).wav,84.9238195001788,The patient has difficulty breathing when walking short distance and sometimes feels pressure in his sheath. Test symptoms began two days ago and have gradually become worse. He has a history of asthma but has not used his another today.,"El paciente tiene dificultad para respirar al caminar distancias cortas y a veces siente presión en el pecho. Estos síntomas comenzaron hace dos días y han empeorado gradualmente. Tiene antecedentes de asma, pero no ha usado su inhalador hoy.","El paciente tiene dificultad para respirar al caminar distancias cortas y a veces siente presión en su revestimiento. Los síntomas comenzaron hace dos días y han ido empeorando gradualmente. Tiene antecedentes de asma, pero no usó su otro hoy.",1.612394083,0.369478667,0.148739,1.091383,129,53
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q5_1,audio08(herida).wav,66.08576505226831,"The patient could her right hand while preparing food approximately 40 minutes ago. The woman is still bleeding slightly, but she can move all of her fingers normally. She reports moderate pain and does not remember when she received her last tetanus vaccine.","La paciente se cortó la mano derecha mientras preparaba comida hace aproximadamente cuarenta minutos. La herida aún sangra levemente, pero puede mover todos sus dedos con normalidad. Reporta dolor moderado y no recuerda cuándo recibió su última vacuna contra el tétanos.","La paciente pudo haber sentido su mano derecha aproximadamente 40 minutos hace poco. La mujer sigue sangrando ligeramente, pero puede mover todas sus dedos normalmente. Informa dolor moderado y no recuerda cuándo recibió su última vacuna contra la tetanus.",1.549697292,0.365181125,0.174068,1.007162,135,49
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q5_1,audio09(mareo).wav,67.84243677420034,"The patient suddenly become disqual standing at work this morning. He did not lose consciousness, but he feel weak and had to sit down in the middle. He has eaten very little today and said that similar symptoms have been caused last month.","El paciente se mareó repentinamente mientras estaba de pie en el trabajo esta mañana. No perdió el conocimiento, pero se sintió débil y tuvo que sentarse de inmediato. Ha comido muy poco hoy y dice que síntomas similares le ocurrieron una vez el mes pasado.","El paciente se convirtió repentinamente en incapacitado al estar de pie en el trabajo esta mañana. No perdió la conciencia, pero se sentía débil y tuvo que sentarse en el medio. Hoy no ha comido mucho y dijo que síntomas similares se habían producido el mes pasado.",1.979575333,0.364815833,0.170363,1.441431,133,59
