model,model_path,repetition,audio,audio_seconds,inference_seconds,rtf,word_errors,reference_words,wer,char_errors,reference_characters,cer,reference_en,hypothesis_en
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",2,"audio01(dolor toracico).wav",19.690666667,0.815023916,0.041391383,5,41,0.121951220,17,228,0.074561404,"The patient reports severe chest pain that started about thirty minutes ago. The pain becomes stronger when he takes a deep breath, and he also feels short of breath. He has no known allergies and has not taken any medication today.","The patient reports several chest pain that started about 30 minutes ago. The pain becomes stronger, win, he takes a deep breath and he also feels short of breath. He has no knowledge and has not taken any medication today."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",2,"audio02(alergia).wav",16.768000000,0.851803917,0.050799375,3,37,0.081081081,3,230,0.013043478,"The patient is allergic to penicillin and should not receive any medication containing it. She developed a severe skin rash after taking penicillin several years ago. She currently has a fever, a sore throat, and difficulty swallowing.","The patient is allergic to penicillin and should not receive any medication containing it. She developed a severed skin rash after taking penicillin several years ago. She currently has a fever, a sore throat and difficulty is wallowing."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",2,"audio03(accidente).wav",16.597333333,0.770075542,0.046397546,2,38,0.052631579,3,205,0.014634146,"The patient fell from a bicycle approximately one hour ago and injured his left arm. He can move his fingers, but he feels severe pain near the wrist. There is visible swelling, but there is no active bleeding.","The patient fell from a bicycle approximately one hour ago and injured his left arm. He can move his fingers, but he feels several pain near the waist. There is visible swelling, but there is no active bleeding."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",2,"audio04(dolor abdominal).wav",20.778666667,0.811269041,0.039043364,1,37,0.027027027,1,212,0.004716981,"The patient has had abdominal pain since yesterday evening. The pain is mainly located on the lower right side and has gradually become stronger. She also reports nausea and loss of appetite, but she has not vomited.","The patient has had abdominal pain since yesterday evening. The pain is mainly located on the lower right side and has gradually become stronger. She also reports nausea and lost of appetite, but she has not vomited."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",2,"audio05(diabetes).wav",21.866666667,0.865160834,0.039565282,6,43,0.139534884,17,245,0.069387755,"The patient has type two diabetes and normally takes medication every morning. Today he forgot to take his medicine and began feeling dizzy and weak during the afternoon. He is conscious and able to speak, but he says his condition is getting worse.","The patient has type 2 diabetes and normally takes medication every morning. Today he is far good to take his medicine and began feeling this and weak during the afternoon. He is conscious and able to speak, but he said his condition is getting worse."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",2,"audio06(fiebre).wav",21.248000000,0.850233125,0.040014737,5,38,0.131578947,13,220,0.059090909,"The patient has had a high fever since last night and has been feeling extremely tired. She also reports muscle pain, chills, and a persistent headache. She has been drinking water regularly and has not taken any antibiotics.","The patient has had a high fever signs last night and has been feeling extremely tired. She has a reports musical pain, shields and a persistent headache. She has been drinking water regularly and has not taken any antibiotics."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",2,"audio07(respiracion).wav",22.656000000,0.823030250,0.036327253,3,40,0.075000000,6,235,0.025531915,"The patient has difficulty breathing when walking short distances and sometimes feels pressure in his chest. These symptoms began two days ago and have gradually become worse. He has a history of asthma but has not used his inhaler today.","The patient has difficulty breathing when walking short distance and sometimes feels pressure in his sheath. Test symptoms began two days ago and have gradually become worse. He has a history of asthma but has not used his inhaler today."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",2,"audio08(herida).wav",22.613333333,0.862534083,0.038142722,3,43,0.069767442,11,256,0.042968750,"The patient cut her right hand while preparing food approximately forty minutes ago. The wound is still bleeding slightly, but she can move all of her fingers normally. She reports moderate pain and does not remember when she received her last tetanus vaccine.","The patient could her right hand while preparing food approximately 40 minutes ago. The woman is still bleeding slightly, but she can move all of her fingers normally. She reports moderate pain and does not remember when she received her last tetanus vaccine."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",2,"audio09(mareo).wav",23.957333333,0.892457125,0.037251939,8,41,0.195121951,21,235,0.089361702,"The patient suddenly became dizzy while standing at work this morning. He did not lose consciousness, but he felt weak and had to sit down immediately. He has eaten very little today and says that similar symptoms happened once last month.","The patient suddenly become disequiled standing at work this morning. He did not lose consciousness, but he felt weak and had to sit down immediately. He has eaten very little today and said that similar symptoms have been made on last month."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",2,"audio10(dolor cabeza).wav",26.112000000,0.864738667,0.033116524,4,44,0.090909091,11,258,0.042635659,"The patient has experienced a strong headache for approximately three hours. The pain is mainly located behind her eyes and becomes worse when she looks at bright lights. She also feels slightly nauseous but has no problems speaking or moving her arms and legs.","The patient has experienced a strong heat dutch for approximately 3 hours. The pain is mainly located behind her eyes and becomes worse when she looks at bright light. She also feels slightly nauseous but has no problems speaking or moving her arms and legs."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",3,"audio01(dolor toracico).wav",19.690666667,0.795975458,0.040423997,5,41,0.121951220,17,228,0.074561404,"The patient reports severe chest pain that started about thirty minutes ago. The pain becomes stronger when he takes a deep breath, and he also feels short of breath. He has no known allergies and has not taken any medication today.","The patient reports several chest pain that started about 30 minutes ago. The pain becomes stronger, win, he takes a deep breath and he also feels short of breath. He has no knowledge and has not taken any medication today."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",3,"audio02(alergia).wav",16.768000000,0.894256125,0.053331114,3,37,0.081081081,3,230,0.013043478,"The patient is allergic to penicillin and should not receive any medication containing it. She developed a severe skin rash after taking penicillin several years ago. She currently has a fever, a sore throat, and difficulty swallowing.","The patient is allergic to penicillin and should not receive any medication containing it. She developed a severed skin rash after taking penicillin several years ago. She currently has a fever, a sore throat and difficulty is wallowing."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",3,"audio03(accidente).wav",16.597333333,0.810089833,0.048808433,2,38,0.052631579,3,205,0.014634146,"The patient fell from a bicycle approximately one hour ago and injured his left arm. He can move his fingers, but he feels severe pain near the wrist. There is visible swelling, but there is no active bleeding.","The patient fell from a bicycle approximately one hour ago and injured his left arm. He can move his fingers, but he feels several pain near the waist. There is visible swelling, but there is no active bleeding."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",3,"audio04(dolor abdominal).wav",20.778666667,0.766277500,0.036878088,1,37,0.027027027,1,212,0.004716981,"The patient has had abdominal pain since yesterday evening. The pain is mainly located on the lower right side and has gradually become stronger. She also reports nausea and loss of appetite, but she has not vomited.","The patient has had abdominal pain since yesterday evening. The pain is mainly located on the lower right side and has gradually become stronger. She also reports nausea and lost of appetite, but she has not vomited."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",3,"audio05(diabetes).wav",21.866666667,0.861978209,0.039419735,6,43,0.139534884,17,245,0.069387755,"The patient has type two diabetes and normally takes medication every morning. Today he forgot to take his medicine and began feeling dizzy and weak during the afternoon. He is conscious and able to speak, but he says his condition is getting worse.","The patient has type 2 diabetes and normally takes medication every morning. Today he is far good to take his medicine and began feeling this and weak during the afternoon. He is conscious and able to speak, but he said his condition is getting worse."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",3,"audio06(fiebre).wav",21.248000000,0.806511834,0.037957071,5,38,0.131578947,13,220,0.059090909,"The patient has had a high fever since last night and has been feeling extremely tired. She also reports muscle pain, chills, and a persistent headache. She has been drinking water regularly and has not taken any antibiotics.","The patient has had a high fever signs last night and has been feeling extremely tired. She has a reports musical pain, shields and a persistent headache. She has been drinking water regularly and has not taken any antibiotics."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",3,"audio07(respiracion).wav",22.656000000,0.834445875,0.036831121,3,40,0.075000000,6,235,0.025531915,"The patient has difficulty breathing when walking short distances and sometimes feels pressure in his chest. These symptoms began two days ago and have gradually become worse. He has a history of asthma but has not used his inhaler today.","The patient has difficulty breathing when walking short distance and sometimes feels pressure in his sheath. Test symptoms began two days ago and have gradually become worse. He has a history of asthma but has not used his inhaler today."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",3,"audio08(herida).wav",22.613333333,0.877792041,0.038817455,3,43,0.069767442,11,256,0.042968750,"The patient cut her right hand while preparing food approximately forty minutes ago. The wound is still bleeding slightly, but she can move all of her fingers normally. She reports moderate pain and does not remember when she received her last tetanus vaccine.","The patient could her right hand while preparing food approximately 40 minutes ago. The woman is still bleeding slightly, but she can move all of her fingers normally. She reports moderate pain and does not remember when she received her last tetanus vaccine."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",3,"audio09(mareo).wav",23.957333333,0.871129959,0.036361725,8,41,0.195121951,21,235,0.089361702,"The patient suddenly became dizzy while standing at work this morning. He did not lose consciousness, but he felt weak and had to sit down immediately. He has eaten very little today and says that similar symptoms happened once last month.","The patient suddenly become disequiled standing at work this morning. He did not lose consciousness, but he felt weak and had to sit down immediately. He has eaten very little today and said that similar symptoms have been made on last month."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",3,"audio10(dolor cabeza).wav",26.112000000,0.868375459,0.033255800,4,44,0.090909091,11,258,0.042635659,"The patient has experienced a strong headache for approximately three hours. The pain is mainly located behind her eyes and becomes worse when she looks at bright lights. She also feels slightly nauseous but has no problems speaking or moving her arms and legs.","The patient has experienced a strong heat dutch for approximately 3 hours. The pain is mainly located behind her eyes and becomes worse when she looks at bright light. She also feels slightly nauseous but has no problems speaking or moving her arms and legs."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",4,"audio01(dolor toracico).wav",19.690666667,0.797312166,0.040491883,5,41,0.121951220,17,228,0.074561404,"The patient reports severe chest pain that started about thirty minutes ago. The pain becomes stronger when he takes a deep breath, and he also feels short of breath. He has no known allergies and has not taken any medication today.","The patient reports several chest pain that started about 30 minutes ago. The pain becomes stronger, win, he takes a deep breath and he also feels short of breath. He has no knowledge and has not taken any medication today."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",4,"audio02(alergia).wav",16.768000000,0.796073083,0.047475733,3,37,0.081081081,3,230,0.013043478,"The patient is allergic to penicillin and should not receive any medication containing it. She developed a severe skin rash after taking penicillin several years ago. She currently has a fever, a sore throat, and difficulty swallowing.","The patient is allergic to penicillin and should not receive any medication containing it. She developed a severed skin rash after taking penicillin several years ago. She currently has a fever, a sore throat and difficulty is wallowing."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",4,"audio03(accidente).wav",16.597333333,0.724597292,0.043657453,2,38,0.052631579,3,205,0.014634146,"The patient fell from a bicycle approximately one hour ago and injured his left arm. He can move his fingers, but he feels severe pain near the wrist. There is visible swelling, but there is no active bleeding.","The patient fell from a bicycle approximately one hour ago and injured his left arm. He can move his fingers, but he feels several pain near the waist. There is visible swelling, but there is no active bleeding."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",4,"audio04(dolor abdominal).wav",20.778666667,0.762342459,0.036688709,1,37,0.027027027,1,212,0.004716981,"The patient has had abdominal pain since yesterday evening. The pain is mainly located on the lower right side and has gradually become stronger. She also reports nausea and loss of appetite, but she has not vomited.","The patient has had abdominal pain since yesterday evening. The pain is mainly located on the lower right side and has gradually become stronger. She also reports nausea and lost of appetite, but she has not vomited."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",4,"audio05(diabetes).wav",21.866666667,0.777991750,0.035578891,6,43,0.139534884,17,245,0.069387755,"The patient has type two diabetes and normally takes medication every morning. Today he forgot to take his medicine and began feeling dizzy and weak during the afternoon. He is conscious and able to speak, but he says his condition is getting worse.","The patient has type 2 diabetes and normally takes medication every morning. Today he is far good to take his medicine and began feeling this and weak during the afternoon. He is conscious and able to speak, but he said his condition is getting worse."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",4,"audio06(fiebre).wav",21.248000000,0.797311583,0.037524077,5,38,0.131578947,13,220,0.059090909,"The patient has had a high fever since last night and has been feeling extremely tired. She also reports muscle pain, chills, and a persistent headache. She has been drinking water regularly and has not taken any antibiotics.","The patient has had a high fever signs last night and has been feeling extremely tired. She has a reports musical pain, shields and a persistent headache. She has been drinking water regularly and has not taken any antibiotics."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",4,"audio07(respiracion).wav",22.656000000,0.821544792,0.036261688,3,40,0.075000000,6,235,0.025531915,"The patient has difficulty breathing when walking short distances and sometimes feels pressure in his chest. These symptoms began two days ago and have gradually become worse. He has a history of asthma but has not used his inhaler today.","The patient has difficulty breathing when walking short distance and sometimes feels pressure in his sheath. Test symptoms began two days ago and have gradually become worse. He has a history of asthma but has not used his inhaler today."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",4,"audio08(herida).wav",22.613333333,0.804965083,0.035596923,3,43,0.069767442,11,256,0.042968750,"The patient cut her right hand while preparing food approximately forty minutes ago. The wound is still bleeding slightly, but she can move all of her fingers normally. She reports moderate pain and does not remember when she received her last tetanus vaccine.","The patient could her right hand while preparing food approximately 40 minutes ago. The woman is still bleeding slightly, but she can move all of her fingers normally. She reports moderate pain and does not remember when she received her last tetanus vaccine."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",4,"audio09(mareo).wav",23.957333333,0.760880958,0.031759835,8,41,0.195121951,21,235,0.089361702,"The patient suddenly became dizzy while standing at work this morning. He did not lose consciousness, but he felt weak and had to sit down immediately. He has eaten very little today and says that similar symptoms happened once last month.","The patient suddenly become disequiled standing at work this morning. He did not lose consciousness, but he felt weak and had to sit down immediately. He has eaten very little today and said that similar symptoms have been made on last month."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",4,"audio10(dolor cabeza).wav",26.112000000,0.903618500,0.034605488,4,44,0.090909091,11,258,0.042635659,"The patient has experienced a strong headache for approximately three hours. The pain is mainly located behind her eyes and becomes worse when she looks at bright lights. She also feels slightly nauseous but has no problems speaking or moving her arms and legs.","The patient has experienced a strong heat dutch for approximately 3 hours. The pain is mainly located behind her eyes and becomes worse when she looks at bright light. She also feels slightly nauseous but has no problems speaking or moving her arms and legs."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",5,"audio01(dolor toracico).wav",19.690666667,0.798951500,0.040575137,5,41,0.121951220,17,228,0.074561404,"The patient reports severe chest pain that started about thirty minutes ago. The pain becomes stronger when he takes a deep breath, and he also feels short of breath. He has no known allergies and has not taken any medication today.","The patient reports several chest pain that started about 30 minutes ago. The pain becomes stronger, win, he takes a deep breath and he also feels short of breath. He has no knowledge and has not taken any medication today."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",5,"audio02(alergia).wav",16.768000000,0.887422042,0.052923547,3,37,0.081081081,3,230,0.013043478,"The patient is allergic to penicillin and should not receive any medication containing it. She developed a severe skin rash after taking penicillin several years ago. She currently has a fever, a sore throat, and difficulty swallowing.","The patient is allergic to penicillin and should not receive any medication containing it. She developed a severed skin rash after taking penicillin several years ago. She currently has a fever, a sore throat and difficulty is wallowing."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",5,"audio03(accidente).wav",16.597333333,0.776631625,0.046792555,2,38,0.052631579,3,205,0.014634146,"The patient fell from a bicycle approximately one hour ago and injured his left arm. He can move his fingers, but he feels severe pain near the wrist. There is visible swelling, but there is no active bleeding.","The patient fell from a bicycle approximately one hour ago and injured his left arm. He can move his fingers, but he feels several pain near the waist. There is visible swelling, but there is no active bleeding."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",5,"audio04(dolor abdominal).wav",20.778666667,0.739696084,0.035598823,1,37,0.027027027,1,212,0.004716981,"The patient has had abdominal pain since yesterday evening. The pain is mainly located on the lower right side and has gradually become stronger. She also reports nausea and loss of appetite, but she has not vomited.","The patient has had abdominal pain since yesterday evening. The pain is mainly located on the lower right side and has gradually become stronger. She also reports nausea and lost of appetite, but she has not vomited."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",5,"audio05(diabetes).wav",21.866666667,0.852411917,0.038982252,6,43,0.139534884,17,245,0.069387755,"The patient has type two diabetes and normally takes medication every morning. Today he forgot to take his medicine and began feeling dizzy and weak during the afternoon. He is conscious and able to speak, but he says his condition is getting worse.","The patient has type 2 diabetes and normally takes medication every morning. Today he is far good to take his medicine and began feeling this and weak during the afternoon. He is conscious and able to speak, but he said his condition is getting worse."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",5,"audio06(fiebre).wav",21.248000000,0.808201417,0.038036588,5,38,0.131578947,13,220,0.059090909,"The patient has had a high fever since last night and has been feeling extremely tired. She also reports muscle pain, chills, and a persistent headache. She has been drinking water regularly and has not taken any antibiotics.","The patient has had a high fever signs last night and has been feeling extremely tired. She has a reports musical pain, shields and a persistent headache. She has been drinking water regularly and has not taken any antibiotics."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",5,"audio07(respiracion).wav",22.656000000,0.844630791,0.037280667,3,40,0.075000000,6,235,0.025531915,"The patient has difficulty breathing when walking short distances and sometimes feels pressure in his chest. These symptoms began two days ago and have gradually become worse. He has a history of asthma but has not used his inhaler today.","The patient has difficulty breathing when walking short distance and sometimes feels pressure in his sheath. Test symptoms began two days ago and have gradually become worse. He has a history of asthma but has not used his inhaler today."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",5,"audio08(herida).wav",22.613333333,0.881736209,0.038991872,3,43,0.069767442,11,256,0.042968750,"The patient cut her right hand while preparing food approximately forty minutes ago. The wound is still bleeding slightly, but she can move all of her fingers normally. She reports moderate pain and does not remember when she received her last tetanus vaccine.","The patient could her right hand while preparing food approximately 40 minutes ago. The woman is still bleeding slightly, but she can move all of her fingers normally. She reports moderate pain and does not remember when she received her last tetanus vaccine."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",5,"audio09(mareo).wav",23.957333333,0.876241167,0.036575071,8,41,0.195121951,21,235,0.089361702,"The patient suddenly became dizzy while standing at work this morning. He did not lose consciousness, but he felt weak and had to sit down immediately. He has eaten very little today and says that similar symptoms happened once last month.","The patient suddenly become disequiled standing at work this morning. He did not lose consciousness, but he felt weak and had to sit down immediately. He has eaten very little today and said that similar symptoms have been made on last month."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",5,"audio10(dolor cabeza).wav",26.112000000,0.907398584,0.034750252,4,44,0.090909091,11,258,0.042635659,"The patient has experienced a strong headache for approximately three hours. The pain is mainly located behind her eyes and becomes worse when she looks at bright lights. She also feels slightly nauseous but has no problems speaking or moving her arms and legs.","The patient has experienced a strong heat dutch for approximately 3 hours. The pain is mainly located behind her eyes and becomes worse when she looks at bright light. She also feels slightly nauseous but has no problems speaking or moving her arms and legs."
"F16","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f16.bin",1,"audio01(dolor toracico).wav",19.690666667,0.615752459,0.031271285,5,41,0.121951220,17,228,0.074561404,"The patient reports severe chest pain that started about thirty minutes ago. The pain becomes stronger when he takes a deep breath, and he also feels short of breath. He has no known allergies and has not taken any medication today.","The patient reports several chest pain that started about 30 minutes ago. The pain becomes stronger, win, he takes a deep breath and he also feels short of breath. He has no knowledge and has not taken any medication today."
"F16","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f16.bin",1,"audio02(alergia).wav",16.768000000,0.852302125,0.050829087,3,37,0.081081081,3,230,0.013043478,"The patient is allergic to penicillin and should not receive any medication containing it. She developed a severe skin rash after taking penicillin several years ago. She currently has a fever, a sore throat, and difficulty swallowing.","The patient is allergic to penicillin and should not receive any medication containing it. She developed a severed skin rash after taking penicillin several years ago. She currently has a fever, a sore throat and difficulty is wallowing."
"F16","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f16.bin",1,"audio03(accidente).wav",16.597333333,0.554419000,0.033404101,2,38,0.052631579,3,205,0.014634146,"The patient fell from a bicycle approximately one hour ago and injured his left arm. He can move his fingers, but he feels severe pain near the wrist. There is visible swelling, but there is no active bleeding.","The patient fell from a bicycle approximately one hour ago and injured his left arm. He can move his fingers, but he feels several pain near the waist. There is visible swelling, but there is no active bleeding."
"F16","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f16.bin",1,"audio04(dolor abdominal).wav",20.778666667,0.578971584,0.027863751,1,37,0.027027027,1,212,0.004716981,"The patient has had abdominal pain since yesterday evening. The pain is mainly located on the lower right side and has gradually become stronger. She also reports nausea and loss of appetite, but she has not vomited.","The patient has had abdominal pain since yesterday evening. The pain is mainly located on the lower right side and has gradually become stronger. She also reports nausea and lost of appetite, but she has not vomited."
"F16","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f16.bin",1,"audio05(diabetes).wav",21.866666667,0.692218666,0.031656341,6,43,0.139534884,17,245,0.069387755,"The patient has type two diabetes and normally takes medication every morning. Today he forgot to take his medicine and began feeling dizzy and weak during the afternoon. He is conscious and able to speak, but he says his condition is getting worse.","The patient has type 2 diabetes and normally takes medication every morning. Today he is far good to take his medicine and began feeling this and weak during the afternoon. He is conscious and able to speak, but he said his condition is getting worse."
